sec,nsec
8337,441259737
8337,451076262
8337,460887369
8337,471697119
8337,481509113
8337,491318814
8337,501133047
8337,510950509
8337,520762502
8337,531571523
8337,541385495
8337,551193947
8337,561007555
8337,571330536
8337,581142477
8337,590950095
8337,600758026
8337,611575172
8337,621387477
8337,631195617
8337,641006568
8337,650817364
8337,661655863
8337,671547752
8337,681443183
8337,691280072
8337,701094409
8337,710914058
8337,720728864
8337,731544499
8337,741354149
8337,751164579
8337,760976885
8337,770788930
8337,781681753
8337,791564631
8337,801417927
8337,811241222
8337,821057538
8337,830870365
8337,841681729
8337,851495806
8337,861311445
8337,871122605
8337,880931213
8337,890743310
8337,901552904
8337,911364532
8337,921176994
8337,930989092
8337,940837699
8337,951654012
8337,961467047
8337,971277582
8337,981090877
8337,990900943
8338,001714026
8338,010732116
8338,020739369
8338,030741362
8338,040745750
8338,050750295
8338,060754996
8338,070755530
8338,080759450
8338,090763994
8338,100765258
8338,110768083
8338,121580542
8338,131391441
8338,141206924
8338,151015219
8338,160827421
8338,171639202
8338,181450622
8338,191258553
8338,201066432
8338,210881550
8338,221690258
8338,231497877
8338,241306432
8338,251134207
8338,260963075
8338,270773350
8338,281585131
8338,291397853
8338,301210107
8338,311023663
8338,320836906
8338,331650718
8338,341462659
8338,351270799
8338,361078469
8338,370889525
8338,381714535
8338,391564809
8338,401381386
8338,411199056
8338,421011206
8338,430821845
8338,441678157
8338,451494057
8338,461304696
8338,471117991
8338,480927172
8338,490738644
8338,501583081
8338,511403356
8338,521218110
8338,531033124
8338,540844544
8338,551652679
8338,561464256
8338,571275676
8338,581086940
8338,590894611
8338,601702277
8338,611518854
8338,621331576
8338,631140236
8338,640951761
8338,650763025
8338,661571421
8338,671382268
8338,681195980
8338,691008598
8338,700817362
8338,711629039
8338,721442387
8338,731254797
8338,741063509
8338,750873315
8338,761685721
8338,771497454
8338,781305541
8338,791112951
8338,800921350
8338,810735166
8338,821546895
8338,831355034
8338,841166976
8338,850978240
8338,860793618
8338,871603577
8338,881417184
8338,890739700
8338,901549763
8338,911358996
8338,921171093
8338,930980430
8338,940829142
8338,951643736
8338,961454583
8338,971269701
8338,981083413
8338,990892334
